country,year,gun_homicide,primary_enrollment,GNI
Australia,1996,0.57,1848169,419924000000.00
Australia,1997,0.43,1855789,422697000000.00
Australia,1998,0.3,1869852,377396000000.00
Australia,1999,0.26,1885341,414250000000.00
Australia,2000,0.3,1905951,397301000000.00
Australia,2001,0.24,1914395,379504000000.00
Australia,2002,0.23,1933765,422904000000.00
Australia,2003,0.27,1931817,542483000000.00
Australia,2004,0.09,1934549,653136000000.00
Australia,2005,0.09,1934941,731300000000.00
Australia,2006,0.2,1938861,781738000000.00
Australia,2007,0.13,1973456,944863000000.00
Australia,2008,0.13,1977837,1019940000000.00
Australia,2009,0.17,1991715,975412000000.00
Australia,2010,0.16,2015017,1247300000000.00
Australia,2011,0.15,2042081,1499650000000.00
Australia,2012,0.19,2083119,1551140000000.00
Australia,2013,0.18,2127730,1502830000000.00
Australia,2014,0.15,2168531,1434510000000.00
Australia,2015,0.12,2140571,1218110000000.00
Australia,2016,0.18,2179689,1274450000000.00
Austria,1996,0.21,382005,237131000000.00
Austria,1997,0.17,381927,211801000000.00
Austria,1998,0.17,385309,216928000000.00
Austria,1999,0.21,388777,213738000000.00
Austria,2000,0.31,392407,195086000000.00
Austria,2001,0.19,392339,194638000000.00
Austria,2002,0.16,386484,212149000000.00
Austria,2003,0.2,379920,261028000000.00
Austria,2004,0.16,372963,300503000000.00
Austria,2005,0.16,362822,315297000000.00
Austria,2006,0.12,355293,336766000000.00
Austria,2007,0.16,347249,388280000000.00
Austria,2008,0.17,337448,433899000000.00
Austria,2009,0.24,331565,399975000000.00
Austria,2010,0.18,328015,395171000000.00
Austria,2011,0.09,326351,432574000000.00
Austria,2012,0.06,326955,409839000000.00
Austria,2013,0.15,327187,431229000000.00
Austria,2014,0.12,327246.8333,442579000000.00
Austria,2015,0.1,327816.8333,378058000000.00
Austria,2016,0.18,329031.5,395539000000.00
Belgium,1996,0.74,742796,285689000000.00
Belgium,1997,0.77,754005.1579,258854000000.00
Belgium,1998,0.72,754005.1579,264801000000.00
Belgium,1999,0.68,762734,264165000000.00
Belgium,2000,0.42,773742,242292000000.00
Belgium,2001,0.42,771889,240964000000.00
Belgium,2002,0.42,767787,261614000000.00
Belgium,2003,0.51,761730,323429000000.00
Belgium,2004,0.57,747111,373671000000.00
Belgium,2005,0.44,738580,390378000000.00
Belgium,2006,0.29,732808,413763000000.00
Belgium,2007,0.33,732411,476842000000.00
Belgium,2008,0.27,733052,527775000000.00
Belgium,2009,0.31,731603,490268000000.00
Belgium,2010,0.33,731761,488334000000.00
Belgium,2011,0.31,736062,523482000000.00
Belgium,2012,0.23,744331,507695000000.00
Belgium,2013,0.14,764137,534493000000.00
Belgium,2014,0.26,773568,545897000000.00
Belgium,2015,0.25,782606,468690000000.00
Belgium,2016,0.42,797390,480303000000.00
Canada,1996,0.71,2448144,609670000000.00
Canada,1997,0.64,2293485.647,634683000000.00
Canada,1998,0.5,2403709,612690000000.00
Canada,1999,0.54,2428620,655571000000.00
Canada,2000,0.59,2456434,725232000000.00
Canada,2001,0.55,2293485.647,718197000000.00
Canada,2002,0.48,2293485.647,741398000000.00
Canada,2003,0.51,2293485.647,873546000000.00
Canada,2004,0.54,2389188,1004550000000.00
Canada,2005,0.69,2320738,1149170000000.00
Canada,2006,0.59,2305211,1298340000000.00
Canada,2007,0.51,2260819,1447200000000.00
Canada,2008,0.59,2200335,1530120000000.00
Canada,2009,0.53,2193237,1350960000000.00
Canada,2010,0.51,2168022,1585300000000.00
Canada,2011,0.41,2153778,1758970000000.00
Canada,2012,0.47,2182843,1796240000000.00
Canada,2013,0.34,2206136,1819070000000.00
Canada,2014,0.44,2249164,1774390000000.00
Canada,2015,0.51,2303964,1532290000000.00
Canada,2016,0.63,2318914,1509570000000.00
Czechia,1996,0.43,541671,66384731334.00
Czechia,1997,0.35,659263,61246497591.00
Czechia,1998,0.58,662647,65822187343.00
Czechia,1999,0.45,654511,63963927479.00
Czechia,2000,0.35,644956,60621087653.00
Czechia,2001,0.35,630680,65899023614.00
Czechia,2002,0.38,603843,79240085748.00
Czechia,2003,0.36,566581,96725406785.00
